,Measured angle,Predicted angle
0,31.32914611,42.6
1,61.90133499,53.33
2,89.87177275,84.85
3,40.61392738,36.67
4,27.31763874,33.8
5,55.18366722,62.64
6,31.96690419,25.52
7,37.69050168,36.96
8,52.69872001,50.7
9,72.95715231,67.93
10,17.42572204,53.77
11,50.8597295,43.6
12,19.27177175,21.99
13,36.30165458,49.93
14,54.41770113,56.68
15,65.31791914,61.54
16,26.20924445,24.39
17,51.84898952,61.05
18,53.80452349,49.52
19,36.75223551,30.68
20,62.49190665,54.26
21,38.59326972,40.19
22,33.62524162,36.29
23,31.38836029,24.48
24,45.81460141,39.14
25,13.33028339,68.29
26,34.5088149,25.02
27,52.07292907,54.91
28,35.24612635,36.62
29,69.54089623,68.08
30,46.56922963,48.06
31,26.13259714,26.77
32,64.07587145,57
33,43.7845271,31.39
34,58.39769449,57.01
35,61.14495897,58.33
36,34.52146089,36.57
37,32.76630597,44.53
38,57.99553199,55.27
39,92.48509733,94.96
40,102.9593722,98.04
41,104.2134092,101.39
42,87.34970508,79.93
43,85.54820691,84.02
44,39.7868978,37.11
45,33.54935132,34.73
46,32.29398401,37.83
47,29.91418733,35.97
48,34.91398684,34.36
49,56.99435661,60.19
50,46.85132453,42.5
51,59.33855119,63.43
52,53.41711985,60.62
53,60.93537286,55.17
54,66.23344791,61.19
55,49.70321547,48.71
56,67.6182883,59.55
57,52.46167527,53.38
58,55.05017653,48.81
59,44.59530433,51.06
60,44.54007076,38.97
61,92.81686586,88.44
62,26.15538993,24.67
63,42.37669043,37.43
64,35.7251437,37.92
65,46.38478861,34.92
66,39.20629993,33.94
67,31.9610156,27.6
68,45.77052082,43.73
69,54.16606469,52.27
70,62.3153236,49.23
71,65.36373271,69.42
72,37.40929518,46.91
73,45.09195073,40.65
74,32.68223215,30.8
75,70.03547442,68.79
76,38.2179933,34.25
77,47.93723903,37.67
78,82.80150986,81.3
79,70.98581627,79.33
80,79.53936606,81.44
81,53.51038688,51.99
82,65.24199103,69.52
83,89.03060591,85.64
84,46.84581093,49.42
85,78.078104,76.44
86,72.42376161,84.63
87,42.86187665,48.36
88,60.96825973,63.25
89,50.86597545,61.72
90,30.45968082,20.15
91,24.63530288,24.34
92,42.0225191,47.95
93,57.3876539,44.5
94,34.86240968,29
95,39.58048105,31.37
96,48.48509161,55.33
97,37.00210729,41.65
98,49.37619829,46.61
99,32.45300142,30.66
100,45.44234653,82.31
101,73.270767,66.11
102,22.13534732,25.05
103,19.50462482,36.74
104,38.08181063,36.26
105,57.18671353,60.59
106,53.79593463,59.47
107,66.18894531,65.32
108,18.57128564,19.14
109,50.56742914,40.03
110,51.74254133,44.49
111,50.46901739,71.62
112,58.4479442,58.29
113,60.7320926,50.72
114,31.43766746,32.84
115,38.41317299,28.27
116,33.1293842,29.72
117,37.19964177,31.46
118,64.27491294,68.42
119,105.6991898,106.25
120,74.40503864,79.76
121,26.03209821,27.67
122,83.80481213,78.43
123,65.72319145,68.94
124,41.04860261,43.18
125,37.88516096,45.01
126,32.03749644,38.75
127,50.89646939,46.32
128,32.49683321,28.09
129,28.11343663,37.53
130,43.41274818,42.74
131,60.36177535,52.96
132,52.03473198,48.38
133,64.1920263,64.49
134,45.3051772,37.26
135,43.92138956,38.52
136,41.70674593,36.39
137,51.66701551,42.95
138,66.15783542,53.97
139,110.2323611,103.24
140,72.78818472,76.6
141,39.53862429,41.61
142,61.83555743,63.32
143,72.70577828,79.19
144,62.4571022,54.2
145,58.36631722,44.31
146,27.10424578,23.51
147,48.9943128,47.17
148,32.51135952,33.23
149,62.86785008,62.94
150,38.99376137,39.59
151,34.19418484,38.45
